Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
35,,68.25,9.3219418002997,51.6927563837263,12.760014115848,7.14987186458687,36.2132034355964,[92  9  7],[235.33699634 220.41758242 208.62271062],[255 255 247]
36,,201,15.9975357005936,-36.1209981825205,23.7430158776726,13.1151116198457,78.4441738241592,[38  5  0],[221.96144279 211.01865672 199.35074627],[255 255 247]
37,,29,6.0765077797465,48.4449011589497,6.98847535644818,5.89101165976031,22.3137084989848,[158 115 112],[242.97413793 234.45689655 226.4137931 ],[255 255 248]
38,,889.75,33.6580582465494,89.3416907827413,41.8234856428443,31.7165472737467,192.858910396796,[55  1  0],[235.36527114 223.0696825  211.98932284],[255 255 249]
39,,395,22.426092396367,0.235775378581801,44.0863765378861,13.73818369413,107.719300090006,[43  0  0],[239.77468354 226.85759494 215.97341772],[255 255 247]
40,,450,23.936536824086,-15.5973322003875,26.0787115474641,22.6735347236303,97.5538238691624,[53 27 25],[225.96277778 212.275      196.13944444],[255 255 245]
41,,28.75,6.0502592432999,-83.4785772670855,8.69543083744226,4.6530995157253,23.3994949366117,[102  70  59],[239.66956522 232.25217391 222.07826087],[255 255 252]
42,,416,23.0145095670064,67.1432654566259,35.7746678131002,17.0851268303345,116.589357775095,[47  3  0],[246.23737981 238.55769231 225.85817308],[255 255 254]
43,,51.75,8.11727456970901,28.9316298500637,11.9675144280687,5.64344295196843,30.642135623731,[78 37 28],[232.73429952 219.24637681 204.98550725],[255 255 248]
44,,88,10.5851348568025,51.9213185387287,12.3540645683095,9.74688824074516,41.420310216783,[120 122 109],[230.19602273 226.90056818 210.45170455],[255 255 242]
45,,4.75,2.45924537968297,-32.4276187796109,3.20257405484729,2.06367509077439,7.53553390593274,[119  97  91],[178.42105263 161.42105263 153.15789474],[255 240 232]
46,,13.5,4.14592979365603,-72.3937283691401,6.0549097163548,3.07506717787852,15.6066017177982,[133 121 115],[210.75925926 200.53703704 191.42592593],[253 250 238]
47,,395.5,22.4402816368859,-50.3353758783383,23.9497899800579,21.4791231583598,81.4619407771256,[34 19  3],[222.994311   212.47092288 194.11125158],[255 255 248]
48,,226.5,16.9820127453289,52.1571342925111,18.8148105049667,16.3703595377046,65.5121933088198,[119  90  81],[245.68432671 236.50220751 224.21633554],[255 255 247]
49,,218.5,16.6794136744861,-38.7818425659226,20.6333916646575,15.0713352085094,67.7695526217005,[61 39 31],[239.75743707 235.68077803 217.85354691],[255 255 248]
50,,167,14.5818724439206,38.1643971289083,19.8230469010433,11.2455353311758,60.9411254969543,[18  0  0],[223.79191617 216.21407186 204.01347305],[255 255 245]
51,,92.25,10.8377279907654,-18.3937785957657,12.6314038015677,9.87551680664441,41.7487373415292,[148 137 123],[229.75609756 220.85907859 207.899729  ],[255 255 248]
52,,14.75,4.33362242065961,23.7047104103127,5.60379697156131,3.56817931538924,15.4852813742386,[115  84  75],[228.55932203 223.27118644 210.10169492],[255 255 245]
53,,43,7.39927702033192,-89.824855267362,13.3932846801688,4.45221259308939,32.6776695296637,[70 22 16],[219.3372093  209.04651163 198.15116279],[255 255 248]
